Date,Account,Transaction Type,Category,Sub-Category,Quickbooks Category,Description, Amount ,Status,Notes,Ben Review
8/1/25,Winslow - Checking *2917,Check,Fixed Expense,Rent/Lease,Rent/Lease,13179 Marisol RE,"($5,903.09)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/1/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$5,209.32 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/1/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,"payroll processing fees, Orig CO Name:ADP PAYROLL FEES",($74.25),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/1/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,"Advertising and Promotion, Orig CO Name:Seated New Gue",($270.39),Amber,Marketing expense  check supporting invoice; validate vendor classification.,Y
8/2/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Uncategorized Expense,Uncategorized Expense,"Merchant Account Fees, Orig CO Name:Shift4",($201.99),Red,Unusual or unclear transaction  confirm business purpose and obtain supporting documents.,Banking fees
8/2/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Uncategorized Expense,Uncategorized Expense,"Merchant Account Fees, Orig CO Name:SHIFT4",($558.15),Red,Unusual or unclear transaction  confirm business purpose and obtain supporting documents.,Banking fees
8/3/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$1,752.03 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/3/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Alex Miller",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/3/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Dave Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/3/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Navigator entertainment",($700.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/4/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$6,903.97 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/4/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$11,297.33 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/5/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$1,559.53 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/5/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Wage Pay,ADP - Wage Pay,"Payroll Liabilities:Net Payroll, Orig CO Name: ADP WAGE PAY","($10,742.13)",Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/5/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Tax,ADP - Tax,"Payroll Liabilities, Orig CO Name:ADP Tax","($4,374.01)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/6/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,291.54 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/6/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Pay-by-Pay,ADP - Pay-by-Pay,"Insurance Expense, Orig CO Name:ADP PAY-BY-PAY",($151.84),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/7/25,Winslow - Checking *2917,Check,Fixed Expense,Rent/Lease,Rent/Lease,13186 Mariosl RE,"($15,000.00)",Amber,Fixed recurring expense  ensure proper invoice and coding.,Y
8/7/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$4,839.77 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/8/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$2,632.61 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/8/25,Winslow - Checking *2917,Electronic Withdrawal,Labor Expense,ADP - Payroll Fees,ADP - Payroll Fees,"payroll processing fees, Orig CO Name:ADP PAYROLL FEES",($72.98),Amber,Recurring labor cost  verify payroll details; monitor for trend.,Y
8/8/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Credit Card - Chase,Credit Card - Chase,"Credit Card Payment, Mark Tafoya","($2,548.12)",Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/8/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Marketing/Advertising,Marketing/Advertising,"Advertising and Promotion, Chair up",($169.59),Amber,Marketing expense  check supporting invoice; validate vendor classification.,Y
8/10/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Dave Music",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/10/25,Winslow - Checking *2917,Electronic Withdrawal,Other Expense,Music/DJ,Music/DJ,"Music and Entertainment, Alex Miller",($150.00),Amber,Operating expense  check supporting document; validate correct P&L classification.,Y
8/11/25,Winslow - Checking *2917,Deposit,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,Event/Gin Club/Other Sales,"Deposits, Purple Pass 1","$1,500.00 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/11/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$5,337.79 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/11/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$11,568.64 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/11/25,Winslow - Checking *2917,Deposit,Food & Beverage Sales,Food & Beverage Sales,Gross Receipts,"Deposits, Orig CO Name:SHIFT4","$3,933.38 ",Green,Revenue/Deposit  no concerns; aligns with operating activity.,
8/11/25,Winslow - Checking *2917,Deposit,Other Income,Uncategorized Income,Uncategorized Income,"Other Income, BOOK TRANSFER CREDIT","$1,819.33 ",Amber,Revenue/Deposit  no concerns; aligns with operating activity.,"N, ?"
